id,inscription,latitude,longitude,country,area,erected,main_photo,colour,organisations,series,series_ref,number_of_subjects,lead_subject_name,lead_subject_born_in,lead_subject_died_in,lead_subject_type,lead_subject_roles,lead_subject_wikipedia,lead_subject_dbpedia,lead_subject_image,subjects
10014,Winnie The Pooh world famous teddy bear was 'born' in the soft toy factory of J. K. Farnell & Co Ltd adjacent to 'The Elms' Acton in 1921,51.50912,-0.28126,United Kingdom,London,2012,"",green,"[""Ealing Civic Society""]","",,1,Winnie The Pooh,1921,,thing,"[""teddy bear""]",https://en.wikipedia.org/wiki/Winnie_The_Pooh,http://dbpedia.org/resource/Winnie_The_Pooh,"","[""Winnie The Pooh|(from 1921)|thing|teddy bear|""]"
10012,"Richard White founder of the Mill Hill Park estate, eminent lawyer and founder member of the Law Society lived here 1809-1849. This is the east wing of his original mansion",51.50421,-0.27604,United Kingdom,London,"","",green,"[""Mill Hill Park Residents' Association""]","",,1,Richard White,,,man,"[""lawyer"", ""founder of the Mill Hill Park estate"", ""founder member of the Law Society""]", , ,"","[""Richard White||man|lawyer, founder of the Mill Hill Park estate, and founder member of the Law Society|""]"
10007,Arthur Haynes 1914-1966 comedian and King Rat lived here 1963-1966,51.50366,-0.28878,United Kingdom,London,"","",blue,"[""Dead Comics Society""]","",,1,Arthur Haynes,1914,1966,man,"[""comedian"", ""King Rat""]",https://en.wikipedia.org/wiki/Arthur_Haynes,http://dbpedia.org/resource/Arthur_Haynes,"","[""Arthur Haynes|(1914-1966)|man|comedian and King Rat|""]"
9996,"Stanmore Hall. Original building constructed 1843. Extended in 1885 with William Morris interiors. Owners have included William Knox D'Arcy, founder of Anglo Iranian Oil Company (later British Petroleum), Robert Holland balloonist and his wife Helen authoress.",51.62458,-0.31914,United Kingdom,London,"","",brown,"[""Harrow Heritage Trust""]","",,0,"","","","",[],"","","",[]
10011,Charles Hamilton known as Frank Richards creator of Billy Bunter was born in a house on this site 8 August 1876,51.5129,-0.30284,United Kingdom,London,"",https://commons.wikimedia.org/wiki/Special:FilePath/Bunter_738.JPG?width=640,blue,[],"",,1,Charles Hamilton,1876,1961,man,"[""Frank Richards"", ""creator of Billy Bunter""]",https://en.wikipedia.org/wiki/Charles_Hamilton_%28writer%29,http://dbpedia.org/resource/Charles_Hamilton_%28writer%29,"","[""Charles Hamilton|(1876-1961)|man|Frank Richards and creator of Billy Bunter|""]"
10027,Site of former Kingston Lodge home of novelist George Meredith from 1865 to 1868,51.41176,-0.29016,United Kingdom,London,"",https://commons.wikimedia.org/wiki/Special:FilePath/George_Meredith_green_plaque.jpg?width=640,green,[],"",,2,Kingston Lodge,,,place,"[""lodge""]", , ,"","[""Kingston Lodge||place|lodge|"", ""George Meredith|(1828-1909)|man|novelist, poet, and Order of Merit recipient|""]"
484,Captain Matthew Flinders RN 1774-1814 explorer and navigator lived here,51.5235,-0.1399,United Kingdom,London,1973,https://commons.wikimedia.org/wiki/Special:FilePath/CAPTAIN_MATTHEW_FLINDERS_R.N._1774-1814_EXPLORER_AND_NAVIGATOR_lived_here.jpg?width=640,blue,"[""London County Council""]","",,1,Matthew Flinders,1774,1814,man,"[""explorer"", ""navigator"", ""Commander"", ""Royal Navy Captain""]",https://en.wikipedia.org/wiki/Matthew_Flinders,http://dbpedia.org/resource/Matthew_Flinders,https://commons.wikimedia.org/wiki/Special:FilePath/Matthew_Flinders_watercolour_1801_a069001.jpg?width=640,"[""Matthew Flinders|(1774-1814)|man|explorer, navigator, Commander, and Royal Navy Captain|""]"
485,C. L. R. James 1901-1989 West Indian writer and political activist lived and died here,51.4567,-0.10598,United Kingdom,London,2004,https://commons.wikimedia.org/wiki/Special:FilePath/C.L.R._JAMES_1901-1989_West_Indian_Writer_and_Political_Activist_lived_and_died_here.jpg?width=640,blue,"[""English Heritage""]","",,1,C. L. R. James,1901,1989,man,"[""political activist"", ""West Indian writer""]",https://en.wikipedia.org/wiki/C._L._R._James,http://dbpedia.org/resource/C._L._R._James,"","[""C. L. R. James|(1901-1989)|man|political activist and West Indian writer|""]"
10009,Mervyn Mansell MBE DSC 1918-2009 player and colts coaching manager. A lifelong contribution,51.51848,-0.29842,United Kingdom,London,"","",blue,[],"",,1,Mervyn Mansell,1918,2009,man,"[""Member of the Most Excellent Order of the British Empire"", ""Distinguished Service Cross recipient"", ""player"", ""colts coaching manager""]", , ,"","[""Mervyn Mansell|(1918-2009)|man|Member of the Most Excellent Order of the British Empire, Distinguished Service Cross recipient, player, and colts coaching manager|""]"
10024,Site of the Roman pottery of Sulloniacae c.65-160 AD,51.62367,-0.29469,United Kingdom,London,"","",blue,[],"",,0,"","","","",[],"","","",[]
12863,"Ernest Boulton 1847-1904
Frederick Park 1846-1881
'Stella & Fanny'
Victorian cross-dressers
lodged at 13 Wakefield Street on this site 1868-1870",51.52586,-0.12253,United Kingdom,London,2013,http://farm8.staticflickr.com/7317/9257763494_dbfc94f64e_z.jpg,blue,"[""Marchmont Association""]","",,2,Ernest Boulton,1847,1904,man,"[""cross-dresser""]",https://en.wikipedia.org/wiki/Ernest_Boulton,http://dbpedia.org/resource/Ernest_Boulton,"","[""Ernest Boulton|(1847-1904)|man|cross-dresser|"", ""Frederick Park|(1846-1881)|man|cross-dresser|""]"
10042,Harry Vardon professional golfer born May 9th 1870 lived in this house from 1903 until he died in 1937,51.63012,-0.17726,United Kingdom,London,"","",blue,"[""London Borough of Barnet""]","",,1,Harry Vardon,1870,1937,man,"[""golfer""]",https://en.wikipedia.org/wiki/Harry_Vardon,http://dbpedia.org/resource/Harry_Vardon,"","[""Harry Vardon|(1870-1937)|man|golfer|""]"
10043,"Harry Tate (1872-1940) Near here stood Camden House, once home of Harry Tate from 1920-31. Born Ronald Hutchinson in Scotland in 1872, he adopted 'Tate' as a stage name. He became a music hall star successful in revue and silent films and was one of the first entertainers to broadcast.",51.3628,-0.19841,United Kingdom,London,"",https://lh4.googleusercontent.com/-Ymsx4OguXZg/TTDcdN73ofI/AAAAAAAABiA/dDp2YW3pm-0/s800/Heritage%20Plaque%20Harry%20Tate.jpg,red,"[""London Borough of Sutton""]","",,2,Harry Tate,1872,1940,man,"[""music hall star"", ""entertainer"", ""one of the first entertainers to broadcast""]",https://en.wikipedia.org/wiki/Harry_Tate,http://dbpedia.org/resource/Harry_Tate,"","[""Harry Tate|(1872-1940)|man|music hall star, entertainer, and one of the first entertainers to broadcast|"", ""Camden House||place|house|""]"
10039,"39 Bow Road a tribute to George Lansbury who lived for 23 years in the house formerly on this site Mayor of Poplar, Member of Parliament, Minister of the Crown and Privy Councillor he was a great servant of the people of Bow",51.52702,-0.02611,United Kingdom,London,"","","","[""Bow Council""]","",,1,George Lansbury,1859,1940,man,"[""Member of Parliament"", ""Privy Counsellor""]",https://en.wikipedia.org/wiki/George_Lansbury,http://dbpedia.org/resource/George_Lansbury,"https://commons.wikimedia.org/wiki/Special:FilePath/Photo_7_Council_1938,_WRI_George_Lansbury_head_crop.jpg?width=640","[""George Lansbury|(1859-1940)|man|Member of Parliament and Privy Counsellor|""]"
10040,Tivoli Lodge 1830 built 1830 by Decimus Burton. The entrance lodge to Royal Beulah Spa and Pleasure Gardens,51.41346,-0.0912,United Kingdom,London,"","",green,"[""London Borough of Croydon""]","",,2,Decimus Burton,1800,1881,man,"[""architect of Calverley New Town""]",https://en.wikipedia.org/wiki/Decimus_Burton,http://dbpedia.org/resource/Decimus_Burton,https://commons.wikimedia.org/wiki/Special:FilePath/Decimus_Burton.png?width=640,"[""Decimus Burton|(1800-1881)|man|architect of Calverley New Town|"", ""Tivoli Lodge|(built in 1830)|place|lodge|""]"
6076,Site of the City of London School 1835-1882,51.51486,-0.09368,United Kingdom,London,"",http://farm5.staticflickr.com/4048/4695158351_09bb4ce1f2_z.jpg,blue,"[""Corporation of London""]","",,1,City of London School,,,place,"[""school""]",https://en.wikipedia.org/wiki/City_of_London_School,http://dbpedia.org/resource/City_of_London_School,"","[""City of London School||place|school|""]"
10672,Elizabeth Bowen 1899 - 1973 writer lived here 1935 - 1952,51.52501,-0.15947,United Kingdom,London,2012,http://farm9.staticflickr.com/8148/7556492150_123d3fe7ce_z.jpg,blue,"[""English Heritage""]","",,1,Elizabeth Bowen,1889,1973,woman,"[""writer""]",https://en.wikipedia.org/wiki/Elizabeth_Bowen,http://dbpedia.org/resource/Elizabeth_Bowen,"","[""Elizabeth Bowen|(1889-1973)|woman|writer|""]"
246,Ettore Schmitz alias 'Italo Svevo' 1861-1928 writer lived here 1903-1913,51.4855,0.03297,United Kingdom,London,1999,http://farm6.static.flickr.com/5295/5407990770_d78366baef_b.jpg,blue,"[""English Heritage""]","",,2,Ettore Schmitz,1861,1928,man,"[""writer""]",https://en.wikipedia.org/wiki/Italo_Svevo,http://dbpedia.org/resource/Italo_Svevo,https://commons.wikimedia.org/wiki/Special:FilePath/Svevo.jpg?width=640,"[""Ettore Schmitz|(1861-1928)|man|writer|"", ""Italo Svevo|(1861-1928)|man|writer|""]"
1120,Writer - humorist Sir P. G. Wodehouse in residence 1918-1920,51.4976,-0.16325,United Kingdom,London,"","",blue,[],"",,1,P. G. Wodehouse,1881,1975,man,"[""writer"", ""author"", ""humourist""]",https://en.wikipedia.org/wiki/P._G._Wodehouse,http://dbpedia.org/resource/P._G._Wodehouse,"","[""P. G. Wodehouse|(1881-1975)|man|writer, author, and humourist|""]"
10058,"Madame Tussaud
1761-1850",51.52276,-0.15511,United Kingdom,London,"",http://farm2.staticflickr.com/1288/4674969473_3431576511_z.jpg,bronze,[],"",,1,Marie Tussaud,1761,1850,woman,"[""wax artist""]",https://en.wikipedia.org/wiki/Marie_Tussaud,http://dbpedia.org/resource/Marie_Tussaud,"https://commons.wikimedia.org/wiki/Special:FilePath/Madame_Tussaud,_age_42.jpg?width=640","[""Marie Tussaud|(1761-1850)|woman|wax artist|""]"
10129,Nicolas Medtner composer and pianist lived in this house from 1935 to 1951,51.57654,-0.2004,United Kingdom,London,"","",blue,"[""London Borough of Barnet""]","",,1,Nicolas Medtner,1879,1951,man,"[""composer"", ""pianist""]",https://en.wikipedia.org/wiki/Nikolai_Medtner,http://dbpedia.org/resource/Nikolai_Medtner,https://commons.wikimedia.org/wiki/Special:FilePath/Metner_N.K._Postcard-1910.jpg?width=640,"[""Nicolas Medtner|(1879-1951)|man|composer and pianist|""]"
1115,Voltaire 1694-1778 French philosopher and satirist lodged in a house on this site 1727-1728,51.51073,-0.12298,United Kingdom,London,1994,http://farm7.staticflickr.com/6049/6996443793_6794fdc754_z.jpg,green,"[""City of Westminster""]","",,1,Voltaire,1694,1778,man,"[""philosopher"", ""satirist""]",https://en.wikipedia.org/wiki/Voltaire,http://dbpedia.org/resource/Voltaire,"https://commons.wikimedia.org/wiki/Special:FilePath/Nicolas_de_Largillière,_François-Marie_Arouet_dit_Voltaire_(vers_1724-1725)_-001.jpg?width=640","[""Voltaire|(1694-1778)|man|philosopher and satirist|""]"
10096,Sir Alfred Munning President of the Royal Academy lived here 1920-1922,51.48592,-0.16999,United Kingdom,London,"","",blue,[],"",,1,Alfred Munnings,1878,1959,man,"[""Knight Bachelor"", ""President of the Royal Academy""]",https://en.wikipedia.org/wiki/Alfred_Munnings,http://dbpedia.org/resource/Alfred_Munnings,"","[""Alfred Munnings|(1878-1959)|man|Knight Bachelor and President of the Royal Academy|""]"
10098,Sir Anton Dolin 1904-1983 ballet dancer lived here 1926-1939,51.48594,-0.16999,United Kingdom,London,"","",blue,[],"",,0,"","","","",[],"","","",[]
10093,Lynn Fontanne (1887–1983) actress,51.60785,0.0384,United Kingdom,London,"","","","[""London Borough of Redbridge""]","",,0,"","","","",[],"","","",[]
10091,In this house from 1924 to 1947 lived V. K. Krishna Menon St. Pancras Borough Councillor 1934-1947 Honorary Freeman 1955 High Commissioner for India 1947-1952,51.54411,-0.13354,United Kingdom,London,"","",brown,"[""London Borough of Camden""]","",,0,"","","","",[],"","","",[]
1156,Anne Shelton 1928-1994 popular singer and World War II Forces Favourite lived here,51.4476,-0.07616,United Kingdom,London,"",http://farm4.static.flickr.com/3135/3038150242_db15ef90cb_b.jpg,blue,"[""London Borough of Southwark""]","",,1,Anne Shelton,1928,1994,woman,"[""popular singer"", ""World War II Forces' Favourite""]",https://en.wikipedia.org/wiki/Anne_Shelton_(singer),http://dbpedia.org/resource/Anne_Shelton_(singer),"","[""Anne Shelton|(1928-1994)|woman|popular singer and World War II Forces' Favourite|""]"
10090,Kathleen ('Kitty') Godfree née McKane 1898-1992 Lawn Tennis Champion lived here 1936-1992,51.46001,-0.26967,United Kingdom,London,"",https://commons.wikimedia.org/wiki/Special:FilePath/KATHLEEN_('KITTY')_GODFREE_née_McKANE_1896-1992_Lawn_Tennis_Champion_lived_here_1936-1992.jpg?width=640,blue,"[""English Heritage""]","",,0,"","","","",[],"","","",[]
10097,William McMillan sculptor lived here 1921-1966,51.4859,-0.16999,United Kingdom,London,"","",blue,[],"",,1,William McMillan,1887,1977,man,"[""sculptor""]", , ,"","[""William McMillan|(1887-1977)|man|sculptor|""]"
10086,Henry Moore sculptor (1898–1986) lived and worked in this studio between 1924 and 1928. Among several words carved here are Mother and Child 1924-5 and Woman with Upraised Arms 1927.,51.49714,-0.22819,United Kingdom,London,"","","","[""Hammersmith and Fulham Historic Buildings Group""]","",,1,Henry Moore,1898,1986,man,"[""sculptor""]",https://en.wikipedia.org/wiki/Henry_Moore,http://dbpedia.org/resource/Henry_Moore,https://commons.wikimedia.org/wiki/Special:FilePath/Henry_Moore_in_workshop_Allan_Warren.jpg?width=640,"[""Henry Moore|(1898-1986)|man|sculptor|""]"
10088,"Reverend William Wilks 1843-1923 vicar of Shirley and horticulturalist lived here from 1879 to 1912, where he propagated the Shirley poppy",51.37116,-0.05053,United Kingdom,London,"","","","[""London Borough of Croydon""]","",,0,"","","","",[],"","","",[]
10092,Here lived Capt. Frederick Marryat RN 1792-1848 novelist,51.42068,-0.22802,United Kingdom,London,"","","","[""Wimbledon Society""]","",,1,Frederick Marryat,1792,1848,man,"[""novelist"", ""Royal Navy Captain""]",https://en.wikipedia.org/wiki/Frederick_Marryat,http://dbpedia.org/resource/Frederick_Marryat,"","[""Frederick Marryat|(1792-1848)|man|novelist and Royal Navy Captain|""]"
10095,Eric Coates composer lived in this house 1925 to 1931,0.0,-0.19265,United Kingdom,London,"","","","[""London Borough of Barnet""]","",,1,Eric Coates,1886,1957,man,"[""composer of By The Sleepy Lagoon"", ""composer"", ""Uncrowned King of Light Music""]",https://en.wikipedia.org/wiki/Eric_Coates,http://dbpedia.org/resource/Eric_Coates,"","[""Eric Coates|(1886-1957)|man|composer of By The Sleepy Lagoon, composer, and Uncrowned King of Light Music|""]"
10087,Patrick MacDowell RA 1799–1870 eminent sculptor lived here for many years,0.0,-0.14512,United Kingdom,London,"","","",[],"",,0,"","","","",[],"","","",[]
661,Rose Macaulay 1881-1958 writer lived and died here,51.517,-0.15165,United Kingdom,London,1996,http://farm6.staticflickr.com/5609/15519846585_014529a3d7_z.jpg,blue,"[""English Heritage""]","",,1,Rose Macaulay,1881,1958,woman,"[""writer""]",https://en.wikipedia.org/wiki/Rose_Macaulay,http://dbpedia.org/resource/Rose_Macaulay,https://commons.wikimedia.org/wiki/Special:FilePath/Rose_macaulay.jpg?width=640,"[""Rose Macaulay|(1881-1958)|woman|writer|""]"
10361,On this site stood the Parish Cage or lock-up,51.58598,-0.21996,United Kingdom,London,"","",blue,"[""Hendon Corporation""]","",,1,Hendon Parish Cage,,,man,"[""parish lock-up""]",https://en.wikipedia.org/wiki/Hendon_Parish_Cage,http://dbpedia.org/resource/Hendon_Parish_Cage,"","[""Hendon Parish Cage||man|parish lock-up|""]"
2937,"The world's first cash dispenser was installed
here 25 years ago on June 27, 1967",51.6521,-0.0822,United Kingdom,London,1992,http://s0.geograph.org.uk/photos/93/58/935883_b3d3d6de.jpg,grey,"[""London Borough of Enfield""]","",,0,"","","","",[],"","","",[]
10130,"This building 'Wykeham House' was known in 1916 as The Meeting House ('Te Whare Puni') a resident welfare home for convalescing soldiers of the New Zealand Expeditionary Force attached to base hospital at 'Grey Towers' Camp, Hornchurch.",51.57203,0.21903,United Kingdom,London,2005,"","",[],"",,0,"","","","",[],"","","",[]
454,John Walter 1739-1812 founder of The Times lived here,51.4615,-0.1601,United Kingdom,London,1977,https://commons.wikimedia.org/wiki/Special:FilePath/JOHN_WALTER_1739-1812_Founder_of_The_Times_lived_here.jpg?width=640,blue,"[""Greater London Council""]","",,1,John Walter,1739,1812,man,"[""founder of The Times""]",https://en.wikipedia.org/wiki/John_Walter_(publisher),http://dbpedia.org/resource/John_Walter_(publisher),https://commons.wikimedia.org/wiki/Special:FilePath/John_walter.jpg?width=640,"[""John Walter|(1739-1812)|man|founder of The Times|""]"
39397,In 1585 Gregory Gunne predicted that one day a religious house would be founded at TyBURN.  His prediction was fulfilled when TYBURN CONVENT was established in 1903,51.51298,-0.16374,United Kingdom,London,"",https://commons.wikimedia.org/wiki/Special:FilePath/Gregory_Gunne_plaque_in_London.jpg?width=640,black,[],"",,2,Gregory Gunne,,,man,[],https://en.wikipedia.org/wiki/Gregory_Gunne,http://dbpedia.org/resource/Gregory_Gunne,"","[""Gregory Gunne||man||"", ""Tyburn Convent|(born in 1903)|man||""]"
39309,In 1899 Francis Barraud completed his famous picture of 'Nipper' that became known as His Masters Voice,51.50436,-0.14791,United Kingdom,London,"",https://commons.wikimedia.org/wiki/Special:FilePath/Francis_Barraud_plaque_in_London_1.jpg?width=640,blue,"[""British Plaque Trust""]","",,1,Francis James Barraud,1856,1924,man,"[""artist"", ""son of Henry Barraud"", ""dog owner of Nipper""]",https://en.wikipedia.org/wiki/Francis_James_Barraud,http://dbpedia.org/resource/Francis_James_Barraud,"","[""Francis James Barraud|(1856-1924)|man|artist, son of Henry Barraud, and dog owner of Nipper|""]"
10127,Eleanor Marx 1855-1898 Socialist Campaigner lived and died here,51.42936,-0.06,United Kingdom,London,2008,https://commons.wikimedia.org/wiki/Special:FilePath/ELEANOR_MARX_1855-1898_Socialist_Campaigner_lived_and_died_here.jpg?width=640,blue,"[""English Heritage""]","",,1,Eleanor Marx,1855,1898,woman,"[""daughter of Karl Marx"", ""sister of Jenny Marx""]",https://en.wikipedia.org/wiki/Eleanor_Marx,http://dbpedia.org/resource/Eleanor_Marx,https://commons.wikimedia.org/wiki/Special:FilePath/Eleanor_Marx.jpg?width=640,"[""Eleanor Marx|(1855-1898)|woman|daughter of Karl Marx and sister of Jenny Marx|""]"
10128,Sir William Crookes 1832-1919 scientist lived here from 1880 until his death,51.51171,-0.20214,United Kingdom,London,"",https://commons.wikimedia.org/wiki/Special:FilePath/Sir_William_Crookes_1832-1919_scientist_lived_here_from_1880_until_his_death.jpg?width=640,blue,"[""Greater London Council""]","",,1,William Crookes,1832,1919,man,"[""Knight Bachelor"", ""scientist""]",https://en.wikipedia.org/wiki/William_Crookes,http://dbpedia.org/resource/William_Crookes,https://commons.wikimedia.org/wiki/Special:FilePath/PSM_V10_D660_William_Crookes.jpg?width=640,"[""William Crookes|(1832-1919)|man|Knight Bachelor and scientist|""]"
5942,Kenneth Horne,51.51841,-0.14371,United Kingdom,London,1998,"",blue,[],"",,1,Kenneth Horne,1907,1969,man,[],https://en.wikipedia.org/wiki/Kenneth_Horne,http://dbpedia.org/resource/Kenneth_Horne,"","[""Kenneth Horne|(1907-1969)|man||""]"
1327,Wynkyn de Worde father of Fleet Street first set up his press by Shoe Lane near this hall circa 1500,51.51441,-0.10121,United Kingdom,London,"",http://farm1.staticflickr.com/106/314377458_6c6ddac80a_z.jpg?zz=1,black,[],"",,1,Wynkyn de Worde,,1534,man,"[""father of Fleet Street""]",https://en.wikipedia.org/wiki/Wynkyn_de_Worde,http://dbpedia.org/resource/Wynkyn_de_Worde,"","[""Wynkyn de Worde|(died in 1534)|man|father of Fleet Street|""]"
8482,"Edward Goodrich Acheson 1856-1931 inventor, scientist, industrialist lived on this site 1912-1915",51.5362,-0.15995,United Kingdom,London,"",http://farm9.staticflickr.com/8168/7556485258_ff44b043a4_z.jpg,blue,[],"",,1,Edward Goodrich Acheson,1856,1931,man,"[""inventor"", ""scientist"", ""industrialist""]",https://en.wikipedia.org/wiki/Edward_Goodrich_Acheson,http://dbpedia.org/resource/Edward_Goodrich_Acheson,https://commons.wikimedia.org/wiki/Special:FilePath/PSM_V73_D316_Edward_Goodrich_Acheson.png?width=640,"[""Edward Goodrich Acheson|(1856-1931)|man|inventor, scientist, and industrialist|""]"
10161,"This house designed by R. Norman Shaw Architect, for Frederick Goodall Painter was later the home of W. S. Gilbert Writer and librettist",51.62323,-0.35204,United Kingdom,London,"",https://commons.wikimedia.org/wiki/Special:FilePath/This_house_designed_by_NORMAN_SHAW_Architect_for_FREDERICK_GOODALL_Painter_was_later_the_home_of_W.S._GILBERT_Writer_and_librettist.jpg?width=640,blue,"[""Greater London Council""]","",,3,Richard Norman Shaw,1831,1912,man,"[""architect""]",https://en.wikipedia.org/wiki/Richard_Norman_Shaw,http://dbpedia.org/resource/Richard_Norman_Shaw,"","[""Richard Norman Shaw|(1831-1912)|man|architect|"", ""Frederick Goodall|(1822-1904)|man|painter|"", ""William Schwenck Gilbert|(1836-1911)|man|dramatist, writer, librettist, playwright, and poet|""]"
10776,"The earliest local historical source in 1828 identifies the Old Red Lion as the place where Tom Paine wrote part 1 of ""The Rights of Man"" in 1791",51.53276,-0.10672,United Kingdom,London,"",http://farm6.staticflickr.com/5246/5378526274_0d9975ba50_z.jpg,white,[],"",,1,Thomas Paine,1737,1809,place,"[""author of Common Sense"", ""author of Rights Of Man"", ""author of The Age of Reason"", ""founder of American independence"", ""exciseman"", ""tobacconist"", ""a hero in America"", ""journalist"", ""patriot"", ""pamphleteer for American independence"", ""political writer"", ""champion of the rights of the common man"", ""revolutionary""]",https://en.wikipedia.org/wiki/Thomas_Paine,http://dbpedia.org/resource/Thomas_Paine,https://commons.wikimedia.org/wiki/Special:FilePath/Thomas_Paine_rev1.jpg?width=640,"[""Thomas Paine|(1737-1809)|place|author of Common Sense, author of Rights Of Man, author of The Age of Reason, founder of American independence, exciseman, tobacconist, a hero in America, journalist, patriot, pamphleteer for American independence, political writer, champion of the rights of the common man, and revolutionary|""]"
10775,Christopher Pinchbeck clock maker 1670-1732,51.52125,-0.10208,United Kingdom,London,"","",stone,[],"",,1,Christopher Pinchbeck,1670,1732,man,"[""clockmaker""]",https://en.wikipedia.org/wiki/Christopher_Pinchbeck,http://dbpedia.org/resource/Christopher_Pinchbeck,https://commons.wikimedia.org/wiki/Special:FilePath/Christopher_Pinchbeck.jpg?width=640,"[""Christopher Pinchbeck|(1670-1732)|man|clockmaker|""]"
